T23,Major trading partners,,,,,,,
Region/Country/Area,,Year,Series,Major trading partner 1 (% of exports),Major trading partner 1 (% of exports) footnote,Value,Footnotes,Source
170,Colombia,2021,Major trading partner 3 (% of exports),Panama,,5.8,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
170,Colombia,2010,Major trading partner 3 (% of imports),Mexico,,9.5,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
170,Colombia,2015,Major trading partner 3 (% of imports),Mexico,,7.1,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
170,Colombia,2021,Major trading partner 3 (% of imports),Mexico,,6.2,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
174,Comoros,2010,Major trading partner 1 (% of exports),France,,22.0,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
174,Comoros,2015,Major trading partner 1 (% of exports),France,,22.1,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
174,Comoros,2021,Major trading partner 1 (% of exports),France,,26.6,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
174,Comoros,2010,Major trading partner 1 (% of imports),United Arab Emirates,,28.8,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
174,Comoros,2015,Major trading partner 1 (% of imports),United Arab Emirates,,22.9,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
174,Comoros,2021,Major trading partner 1 (% of imports),United Arab Emirates,,19.0,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
174,Comoros,2010,Major trading partner 2 (% of exports),India,,5.2,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
174,Comoros,2015,Major trading partner 2 (% of exports),India,,15.4,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
174,Comoros,2021,Major trading partner 2 (% of exports),India,,22.8,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
174,Comoros,2010,Major trading partner 2 (% of imports),France,,20.6,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
174,Comoros,2015,Major trading partner 2 (% of imports),France,,20.1,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
174,Comoros,2021,Major trading partner 2 (% of imports),France,,15.7,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
174,Comoros,2010,Major trading partner 3 (% of exports),Germany,,3.6,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
174,Comoros,2015,Major trading partner 3 (% of exports),Germany,,12.0,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
174,Comoros,2021,Major trading partner 3 (% of exports),Germany,,12.4,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
174,Comoros,2010,Major trading partner 3 (% of imports),Pakistan,,11.8,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
174,Comoros,2015,Major trading partner 3 (% of imports),Pakistan,,19.1,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
174,Comoros,2021,Major trading partner 3 (% of imports),Pakistan,,13.2,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
178,Congo,2010,Major trading partner 1 (% of exports),China,,20.9,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
178,Congo,2015,Major trading partner 1 (% of exports),China,,16.0,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
178,Congo,2021,Major trading partner 1 (% of exports),China,,63.8,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
178,Congo,2010,Major trading partner 1 (% of imports),China,,3.5,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
178,Congo,2015,Major trading partner 1 (% of imports),China,,10.0,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
178,Congo,2021,Major trading partner 1 (% of imports),China,,18.7,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
178,Congo,2010,Major trading partner 2 (% of exports),Spain,,1.1,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
178,Congo,2015,Major trading partner 2 (% of exports),Spain,,10.6,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
178,Congo,2021,Major trading partner 2 (% of exports),Spain,,8.6,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
178,Congo,2010,Major trading partner 2 (% of imports),France,,12.2,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
178,Congo,2015,Major trading partner 2 (% of imports),France,,6.3,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
178,Congo,2021,Major trading partner 2 (% of imports),France,,14.5,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
178,Congo,2010,Major trading partner 3 (% of exports),Gabon,,4.7,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
178,Congo,2015,Major trading partner 3 (% of exports),Gabon,,4.9,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
178,Congo,2021,Major trading partner 3 (% of exports),Gabon,,4.6,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
178,Congo,2010,Major trading partner 3 (% of imports),Belgium,,3.7,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
178,Congo,2015,Major trading partner 3 (% of imports),Belgium,,0.9,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
178,Congo,2021,Major trading partner 3 (% of imports),Belgium,,7.4,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
184,Cook Islands,2010,Major trading partner 1 (% of exports),Japan,,49.7,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
184,Cook Islands,2015,Major trading partner 1 (% of exports),Japan,,44.8,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
184,Cook Islands,2021,Major trading partner 1 (% of exports),Japan,,41.7,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
184,Cook Islands,2010,Major trading partner 1 (% of imports),New Zealand,,76.4,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
184,Cook Islands,2015,Major trading partner 1 (% of imports),New Zealand,,46.9,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
184,Cook Islands,2021,Major trading partner 1 (% of imports),New Zealand,,58.1,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
184,Cook Islands,2015,Major trading partner 2 (% of exports),France,,0.9,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
184,Cook Islands,2021,Major trading partner 2 (% of exports),France,,17.3,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
184,Cook Islands,2010,Major trading partner 2 (% of imports),Türkiye,,0.0,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
184,Cook Islands,2015,Major trading partner 2 (% of imports),Türkiye,,5.5,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
184,Cook Islands,2021,Major trading partner 2 (% of imports),Türkiye,,13.4,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
184,Cook Islands,2015,Major trading partner 3 (% of exports),Thailand,,9.6,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
184,Cook Islands,2021,Major trading partner 3 (% of exports),Thailand,,16.3,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
184,Cook Islands,2010,Major trading partner 3 (% of imports),Italy,,0.0,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
184,Cook Islands,2015,Major trading partner 3 (% of imports),Italy,,1.9,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
184,Cook Islands,2021,Major trading partner 3 (% of imports),Italy,,10.9,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
188,Costa Rica,2010,Major trading partner 1 (% of exports),United States,,37.4,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
188,Costa Rica,2015,Major trading partner 1 (% of exports),United States,,40.8,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
188,Costa Rica,2021,Major trading partner 1 (% of exports),United States,,43.5,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
188,Costa Rica,2010,Major trading partner 1 (% of imports),United States,,46.8,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
188,Costa Rica,2015,Major trading partner 1 (% of imports),United States,,39.8,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
188,Costa Rica,2021,Major trading partner 1 (% of imports),United States,,37.4,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
188,Costa Rica,2010,Major trading partner 2 (% of exports),Netherlands,,7.0,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
188,Costa Rica,2015,Major trading partner 2 (% of exports),Netherlands,,4.6,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
188,Costa Rica,2021,Major trading partner 2 (% of exports),Netherlands,,7.7,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
188,Costa Rica,2010,Major trading partner 2 (% of imports),China,,7.1,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
188,Costa Rica,2015,Major trading partner 2 (% of imports),China,,12.6,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
188,Costa Rica,2021,Major trading partner 2 (% of imports),China,,14.5,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
188,Costa Rica,2010,Major trading partner 3 (% of exports),Belgium,,3.4,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
188,Costa Rica,2015,Major trading partner 3 (% of exports),Belgium,,4.5,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
188,Costa Rica,2021,Major trading partner 3 (% of exports),Belgium,,5.3,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
188,Costa Rica,2010,Major trading partner 3 (% of imports),Mexico,,6.4,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
188,Costa Rica,2015,Major trading partner 3 (% of imports),Mexico,,7.4,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
188,Costa Rica,2021,Major trading partner 3 (% of imports),Mexico,,6.8,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
384,Côte d’Ivoire,2010,Major trading partner 1 (% of exports),Netherlands,,14.2,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
384,Côte d’Ivoire,2015,Major trading partner 1 (% of exports),Netherlands,,11.4,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
384,Côte d’Ivoire,2021,Major trading partner 1 (% of exports),Netherlands,,10.7,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
384,Côte d’Ivoire,2010,Major trading partner 1 (% of imports),China,,7.0,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
384,Côte d’Ivoire,2015,Major trading partner 1 (% of imports),China,,11.6,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
384,Côte d’Ivoire,2021,Major trading partner 1 (% of imports),China,,17.2,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
384,Côte d’Ivoire,2010,Major trading partner 2 (% of exports),United States,,10.3,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
384,Côte d’Ivoire,2015,Major trading partner 2 (% of exports),United States,,7.7,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
384,Côte d’Ivoire,2021,Major trading partner 2 (% of exports),United States,,6.0,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
384,Côte d’Ivoire,2010,Major trading partner 2 (% of imports),Nigeria,,26.3,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
384,Côte d’Ivoire,2015,Major trading partner 2 (% of imports),Nigeria,,13.9,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
384,Côte d’Ivoire,2021,Major trading partner 2 (% of imports),Nigeria,,13.5,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
384,Côte d’Ivoire,2010,Major trading partner 3 (% of exports),France,,7.0,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
384,Côte d’Ivoire,2015,Major trading partner 3 (% of exports),France,,5.5,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
384,Côte d’Ivoire,2021,Major trading partner 3 (% of exports),France,,5.9,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
384,Côte d’Ivoire,2010,Major trading partner 3 (% of imports),France,,11.9,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
384,Côte d’Ivoire,2015,Major trading partner 3 (% of imports),France,,12.5,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
384,Côte d’Ivoire,2021,Major trading partner 3 (% of imports),France,,10.7,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
191,Croatia,2010,Major trading partner 1 (% of exports),Slovenia,,7.8,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
191,Croatia,2015,Major trading partner 1 (% of exports),Slovenia,,12.3,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
191,Croatia,2021,Major trading partner 1 (% of exports),Slovenia,,12.7,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
191,Croatia,2010,Major trading partner 1 (% of imports),Germany,,12.5,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
191,Croatia,2015,Major trading partner 1 (% of imports),Germany,,15.5,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
191,Croatia,2021,Major trading partner 1 (% of imports),Germany,,14.8,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
191,Croatia,2010,Major trading partner 2 (% of exports),Italy,,18.7,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
191,Croatia,2015,Major trading partner 2 (% of exports),Italy,,13.4,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
191,Croatia,2021,Major trading partner 2 (% of exports),Italy,,12.5,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
191,Croatia,2010,Major trading partner 2 (% of imports),Italy,,15.2,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
191,Croatia,2015,Major trading partner 2 (% of imports),Italy,,13.2,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
191,Croatia,2021,Major trading partner 2 (% of imports),Italy,,12.6,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
191,Croatia,2010,Major trading partner 3 (% of exports),Germany,,10.3,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
191,Croatia,2015,Major trading partner 3 (% of exports),Germany,,11.3,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
191,Croatia,2021,Major trading partner 3 (% of exports),Germany,,11.8,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
191,Croatia,2010,Major trading partner 3 (% of imports),Slovenia,,5.8,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
191,Croatia,2015,Major trading partner 3 (% of imports),Slovenia,,10.7,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
191,Croatia,2021,Major trading partner 3 (% of imports),Slovenia,,11.0,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
192,Cuba,2010,Major trading partner 1 (% of exports),Canada,,22.6,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
192,Cuba,2015,Major trading partner 1 (% of exports),Canada,,21.0,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
192,Cuba,2021,Major trading partner 1 (% of exports),Canada,,30.5,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
192,Cuba,2010,Major trading partner 1 (% of imports),Spain,,13.6,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
192,Cuba,2015,Major trading partner 1 (% of imports),Spain,,14.8,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
192,Cuba,2021,Major trading partner 1 (% of imports),Spain,,17.6,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
192,Cuba,2010,Major trading partner 2 (% of exports),China,,27.2,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
192,Cuba,2015,Major trading partner 2 (% of exports),China,,17.0,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
192,Cuba,2021,Major trading partner 2 (% of exports),China,,24.4,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
192,Cuba,2010,Major trading partner 2 (% of imports),China,,18.6,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
192,Cuba,2015,Major trading partner 2 (% of imports),China,,26.2,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
192,Cuba,2021,Major trading partner 2 (% of imports),China,,13.6,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
192,Cuba,2010,Major trading partner 3 (% of exports),Spain,,6.1,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
192,Cuba,2015,Major trading partner 3 (% of exports),Spain,,7.2,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
192,Cuba,2021,Major trading partner 3 (% of exports),Spain,,6.6,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
192,Cuba,2010,Major trading partner 3 (% of imports),Argentina,,1.5,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
192,Cuba,2015,Major trading partner 3 (% of imports),Argentina,,3.8,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
192,Cuba,2021,Major trading partner 3 (% of imports),Argentina,,7.8,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
196,Cyprus,2010,Major trading partner 1 (% of exports),Lebanon,,3.3,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
196,Cyprus,2015,Major trading partner 1 (% of exports),Lebanon,,2.0,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
196,Cyprus,2021,Major trading partner 1 (% of exports),Lebanon,,8.7,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
196,Cyprus,2010,Major trading partner 1 (% of imports),Greece,,18.7,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
196,Cyprus,2015,Major trading partner 1 (% of imports),Greece,,20.3,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
196,Cyprus,2021,Major trading partner 1 (% of imports),Greece,,23.9,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
196,Cyprus,2010,Major trading partner 2 (% of exports),Greece,,21.5,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
196,Cyprus,2015,Major trading partner 2 (% of exports),Greece,,6.6,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
196,Cyprus,2021,Major trading partner 2 (% of exports),Greece,,7.7,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
196,Cyprus,2010,Major trading partner 2 (% of imports),Italy,,9.3,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
196,Cyprus,2015,Major trading partner 2 (% of imports),Italy,,6.6,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
196,Cyprus,2021,Major trading partner 2 (% of imports),Italy,,10.2,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
196,Cyprus,2015,Major trading partner 3 (% of exports),Marshall Islands,,6.6,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
196,Cyprus,2021,Major trading partner 3 (% of exports),Marshall Islands,,7.6,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
196,Cyprus,2010,Major trading partner 3 (% of imports),Germany,,9.0,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
196,Cyprus,2015,Major trading partner 3 (% of imports),Germany,,6.8,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
196,Cyprus,2021,Major trading partner 3 (% of imports),Germany,,6.2,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
203,Czechia,2010,Major trading partner 1 (% of exports),Germany,,33.1,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
203,Czechia,2015,Major trading partner 1 (% of exports),Germany,,32.2,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
203,Czechia,2021,Major trading partner 1 (% of exports),Germany,,32.4,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
203,Czechia,2010,Major trading partner 1 (% of imports),Germany,,26.4,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
203,Czechia,2015,Major trading partner 1 (% of imports),Germany,,26.0,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
203,Czechia,2021,Major trading partner 1 (% of imports),Germany,,22.4,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
203,Czechia,2010,Major trading partner 2 (% of exports),Slovakia,,8.2,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
203,Czechia,2015,Major trading partner 2 (% of exports),Slovakia,,9.0,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
203,Czechia,2021,Major trading partner 2 (% of exports),Slovakia,,8.1,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
203,Czechia,2010,Major trading partner 2 (% of imports),China,,12.1,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
203,Czechia,2015,Major trading partner 2 (% of imports),China,,13.5,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
203,Czechia,2021,Major trading partner 2 (% of imports),China,,16.7,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
203,Czechia,2010,Major trading partner 3 (% of exports),Poland,,6.0,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
203,Czechia,2015,Major trading partner 3 (% of exports),Poland,,5.9,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
203,Czechia,2021,Major trading partner 3 (% of exports),Poland,,6.7,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
203,Czechia,2010,Major trading partner 3 (% of imports),Poland,,6.1,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
