T23,Major trading partners,,,,,,,
Region/Country/Area,,Year,Series,Major trading partner 1 (% of exports),Major trading partner 1 (% of exports) footnote,Value,Footnotes,Source
12,Algeria,2021,Major trading partner 3 (% of exports),France,,13.7,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
12,Algeria,2010,Major trading partner 3 (% of imports),France,,14.9,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
12,Algeria,2015,Major trading partner 3 (% of imports),France,,10.5,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
12,Algeria,2021,Major trading partner 3 (% of imports),France,,11.3,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
20,Andorra,2010,Major trading partner 1 (% of exports),Spain,,67.4,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
20,Andorra,2015,Major trading partner 1 (% of exports),Spain,,57.5,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
20,Andorra,2021,Major trading partner 1 (% of exports),Spain,,31.2,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
20,Andorra,2010,Major trading partner 1 (% of imports),Spain,,59.9,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
20,Andorra,2015,Major trading partner 1 (% of imports),Spain,,64.0,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
20,Andorra,2021,Major trading partner 1 (% of imports),Spain,,70.5,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
20,Andorra,2010,Major trading partner 2 (% of exports),France,,16.8,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
20,Andorra,2015,Major trading partner 2 (% of exports),France,,19.5,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
20,Andorra,2021,Major trading partner 2 (% of exports),France,,17.7,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
20,Andorra,2010,Major trading partner 2 (% of imports),France,,17.6,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
20,Andorra,2015,Major trading partner 2 (% of imports),France,,15.9,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
20,Andorra,2021,Major trading partner 2 (% of imports),France,,16.1,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
20,Andorra,2015,Major trading partner 3 (% of exports),Nigeria,,0.0,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
20,Andorra,2021,Major trading partner 3 (% of exports),Nigeria,,7.8,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
20,Andorra,2010,Major trading partner 3 (% of imports),Germany,,4.5,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
